id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
73,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Boynton, Raymond",Animal Force and Machine Force
74,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Harris, George",Banking and the Law
75,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Vidar, Frede",Department Store
76,1934,Commissioned for Coit Tower,10' X 4',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Wight, Clifford",Farmer and Cowboy
77,1934,Commissioned for Coit Tower,10' X 42',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Albro, Maxine",California
78,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Bertrand, Raymond",Meat Industry
79,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Langdon, Gordon",California Agricultural Industry
80,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,oil,oil,"Oldfield, Otis",San Francisco Bay
81,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,oil,oil,"Moya Del Pino, Jose","San Francisco Bay, North"
82,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,oil,oil,"Cuneo, Rinaldo",Bay Area Hills
83,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,oil,oil,"Oldfield, Otis",Seabirds and Bay Area Map
84,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Olmsted, Jr., Frederick Law",Power
85,1934,Commissioned for Coit Tower,10' X 24',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Howard, John Langley",California Industrial Scenes
86,1934,Commissioned for Coit Tower,72 in. x 384 in.,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Labaudt, Lucien",Powell Street
87,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Hall, Parker",Collegiate Sports
88,1934,Commissioned for Coit Tower,9' X 10',"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Terada, Edward Takeo",Sports
89,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Chesse, Ralph A.",Children at Play
90,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Hamlin, Edith",Hunting in California
91,1934,Commissioned for Coit Tower,,"37.8023686,-122.4058194",Public Display,District 3,Coit Tower,,San Francisco Arts Commission,fresco,fresco,"Cunningham, Ben F.",Outdoor Life
