id,accession date,artist,created_at,credit line,display dimensions,geometry,latlon,location_description,descriptive medium,medium,source,title
15,1897,"Porter, Bruce",01/01/1970 12:31:34 AM +0000,Gift of a committee of citizens aided by James D. Phelan in 1897 for Portsmouth Square.,9' H,"-122.4048688,37.7947175","37.7947175,-122.4048688",Public Display : District 3 : Portsmouth Square : NW Corner,Granite,granite,San Francisco Arts Commission,Robert Louis Stevenson (1850-1894) Memorial
16,1899,"Aitken, Robert Ingersoll",01/01/1970 12:31:39 AM +0000,Commissioned in 1898 by the architect of the Music Concourse and Claus Spreckles.,20' H,"-122.4666711,37.7703537","37.7703537,-122.4666711",Public Display : District 1 : GGP: Music Concourse,Cast Concrete,cast concrete,San Francisco Arts Commission,Spandrels on Spreckles Temple of Music
17,1901,"Reitschel, Ernst",ca. 1901,Gift of a committee of Lauchhammer (Prussian Saxony) citizens with funds for German residents of SF,8' H,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Bronze on pedestal of red Missouri granite,bronze on pedestal of red missouri granite,San Francisco Arts Commission,Goethe and Schiller
18,1901,"Tilden, Douglas",01/01/1970 12:31:41 AM +0000,Gift of James Mervyn Donahue,15' H; granite base is 6 1/2' H,"-122.3994649,37.7907874","37.7907874,-122.3994649",Public Display : District 3 : Market and Battery Streets,Bronze,bronze,San Francisco Arts Commission,Mechanics Monument (Peter Donahue-1829-1885)
19,1902,"Aitken, Robert Ingersoll",01/01/1970 12:31:41 AM +0000,Funds raised by public subscription.  Dedicated by President Theodore Roosevelt.,Figure: 12' H; Shaft: 83' H,"-122.4075,37.7880556","37.7880556,-122.4075",Public Display : District 6 : Union Square,Bronze figure on granite base,bronze figure on granite base,San Francisco Arts Commission,"The Dewey Monument (Admiral George Dewey, 1837-1917)"
20,1903,"Tilden, Douglas",01/01/1970 12:31:43 AM +0000,Funds raised by popular subscription,12' H X 10' W on 10' granite base,"-122.4267119,37.7691599","37.7691599,-122.4267119",Public Display : District 8 : Market and Dolores,Bronze,bronze,San Francisco Arts Commission,"California Volunteers, Spanish American War, 1898"
21,1903,"Putnam, Arthur",01/01/1970 12:31:43 AM +0000,Private Commission,5'H X 10' L,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Cast concrete,cast concrete,San Francisco Arts Commission,Sphinx
22,1904,"Aitken, Robert Ingersoll",01/01/1970 12:31:44 AM +0000,Gift of the San Francisco Bar Association,7 1/2' H Figure; 7 1/2,"-122.4184094,37.7793133","37.7793133,-122.4184094","Public Display : District 6 : McAllister Street, North Side of City Hall",Bronze,bronze,San Francisco Arts Commission,Hall McAllister (1829-1888)
23,1904,"Aitken, Robert Ingersoll",01/01/1970 12:31:44 AM +0000,Funds raised by popular subscription,"bronze is 15' H, base is 72 3/4 X 72 3/4 ""","-122.454557,37.771665","37.771665,-122.454557","Public Display : District 5 : GGP, Entrance to Panhandle","Bronze, granite and marble","bronze, granite and marble",San Francisco Arts Commission,William McKinley
24,1905,"Cummings, M. Earl",01/01/1970 12:31:44 AM +0000,Gift of the sculptor to the city of San Francisco.,,"-122.4109539,37.8008791","37.8008791,-122.4109539",Public Display : District 3 : Columbus Avenue at Powell and Union,Bronze,bronze,San Francisco Arts Commission,Man Drinking Water
25,1906,"Perry, R. Hinton",01/01/1970 12:31:38 AM +0000,Gift of Shreve & Co.,"48""","-122.4666711,37.7703537","37.7703537,-122.4666711",Public Display : District 1 : GGP : Music Concourse,Bronze,bronze,San Francisco Arts Commission,Lion
26,1907,"Cummings, M. Earl",01/01/1970 12:31:45 AM +0000,Gift of the National Society of Colonial Dames in California.,"30"" sculpture atop a 4' H shaft","-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse, deYoung entrance",Bronze,bronze,San Francisco Arts Commission,Sun Dial
27,1907,"Tilden, Douglas",01/01/1970 12:31:46 AM +0000,Gift of James D. Phelan,6' H,"-122.4666711,37.7703537","37.7703537,-122.4666711",Public Display : District 1 : GGP : Music Concourse,Bronze,bronze,San Francisco Arts Commission,Padre Junipero Serra (1713-1784)
28,1908,"Cummings, M. Earl",01/01/1970 12:31:46 AM +0000,Gift of the Scots of San Francisco,8' H atop an 8' granite base,"-122.4835193,37.76904","37.76904,-122.4835193","Public Display : District 1 : GGP, JFK near 7th Ave.",Bronze,bronze,San Francisco Arts Commission,Robert Burns (1759-1796)
29,1908,"Schmid, Rupert",ca. 1908,Gift of a committee of citizens headed by Congressman O'Connor,,"-122.4666711,37.7703537","37.7703537,-122.4666711",Public Display : District 1 : GGP : Music Concourse,Bronze,bronze,San Francisco Arts Commission,General Ulysses Simpson Grant (1822-1885)
30,1908,"Cummings, M. Earl",01/01/1970 12:31:48 AM +0000,Gift of Suzanna Brown,Two 4' L sculptures on 9' H granite boulder,"-122.4658805,37.7734009","37.7734009,-122.4658805","Public Display : District 1 : GGP, Fulton at 8th Ave.",Bronze,bronze,San Francisco Arts Commission,Bear and Lion
31,1909,"Brown, Arthur Page",01/01/1970 12:31:49 AM +0000,,,"-122.4818391,37.7705254","37.7705254,-122.4818391","Public Display : District 1 : GGP, Lloyd Lake",Marble and cast concrete,marble and cast concrete,San Francisco Arts Commission,Portals of the Past
32,1910,"Patigian, Haig",01/01/1970 12:31:50 AM +0000,Commissioned and placed in 1910 by the San Francisco Board of Supervisors.,"18""H X 36""W","-122.4034248,37.7876664","37.7876664,-122.4034248",Public Display : District 3 : Market and Kearny,Bronze,bronze,San Francisco Arts Commission,Luisa Tetrazzini (1874-1940) Plaque
33,1911,"Patigian, Haig",01/01/1970 12:31:51 AM +0000,Commissioned for the Weill Monument,"22"" in diameter","-122.5019123,37.7836073","37.7836073,-122.5019123",Public Display : District 1 : Lincoln Park,Bronze,bronze,San Francisco Arts Commission,Raphael Weill (1837-1920) Plaque
34,1914,"Grafly, Charles",01/01/1970 12:31:54 AM +0000,Exhibited at the Panama Pacific International Exposition in 1915.,,"-122.4738817,37.771224","37.771224,-122.4738817",Public Display : District 1 : GGP : JFK at Stowe Lake Drive,Bronze,bronze,San Francisco Arts Commission,Pioneer Mother
35,1914,"Grossoni, Orazio",ca. 1914,Gift of the Italian Colony and by special performances of Verdi operas at the Trivoli.,,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : GGP, Music Concourse, South of Bandshell",Bronze,bronze,San Francisco Arts Commission,Giuseppe Verdi
36,1916,"Mora, Joseph Jacinto",01/01/1970 12:31:56 AM +0000,Gift of E.J. Molora and C.J. Cobrian to the City of San Francisco.,,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Bronze,bronze,San Francisco Arts Commission,Miguel Cervantes (1547-1616)
37,1916,"Putnam, Arthur",01/01/1970 12:31:55 AM +0000,Commissioned by the Downtown Association,,"-122.4204734,37.7741056","37.7741056,-122.4204734",Public Display : District 6 : Market Street,Cast iron bas reliefs,cast iron bas reliefs,San Francisco Arts Commission,The Winning of the West
38,1917,"Cummings, M. Earl",01/01/1970 12:31:57 AM +0000,Gift of Maria Becker,3' H,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse, east of deYoung","Bronze, stone and landscaping","bronze, stone and landscaping",San Francisco Arts Commission,Pool of Enchantment
39,1917,"Houdon, Jean Antoine",01/01/1970 12:31:57 AM +0000,Dedicated to the City and County of San Francisco at the California Palace of Fine Arts.,"78"" H X 42"" W X 33"" D","-122.491083,37.7774299","37.7774299,-122.491083",Public Display : District 1 : Washington High School,Bronze,bronze,San Francisco Arts Commission,George Washington
40,1917,"Patigian, Haig",01/01/1970 12:31:57 AM +0000,Presented to the city of San Francisco by the school children.,,"-122.4184094,37.7793133","37.7793133,-122.4184094","Public Display : District 6 : City Hall, east lobby",Bronze,bronze,San Francisco Arts Commission,Frederick Funston (1865-1917)
41,1919,"Connor, Gerome",01/01/1970 12:31:56 AM +0000,Gift of James D. Phelan,7' H,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Bronze,bronze,San Francisco Arts Commission,Robert Emmet (1778-1803)
42,1919,"Stackpole, Ralph",01/01/1970 12:31:59 AM +0000,Gift of the San Francisco Bar Association,"Life size Head on a granite shaft 5' 6"" H","-122.4184094,37.7793133","37.7793133,-122.4184094","Public Display : District 6 : City Hall : Elevator Lobby, 4th Floor",Bronze,bronze,San Francisco Arts Commission,James M. Seawell (1836-1917)
43,1920,"Rodin, Auguste",1880-1903,Memorial to Raphael Weill by the people of San Francisco.,"7 1/2"" H X 6' W; Base 8' H","-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : Legion of Honor, north lawn",Bronze statue with granite base,bronze statue with granite base,San Francisco Arts Commission,The Three Shades
44,1921,"Cummings, M. Earl",01/01/1970 12:32:01 AM +0000,Purchase funds raised by the San Francisco Firemen in 1922,6' H X 3',"-122.4116033,37.7898163","37.7898163,-122.4116033",Public Display : District 3 : 870 Bush St.,Bronze,bronze,San Francisco Arts Commission,Dennis T. Sullivan (1852-1906) Plaque
45,1922,"Patigian, Haig",01/01/1970 12:32:01 AM +0000,Gift of Dr. Morris Hertzstein,8' H,"-122.4666711,37.7703537","37.7703537,-122.4666711",Public Display : District 1 : GGP : Music Concourse,Bronze,bronze,San Francisco Arts Commission,General John J. Pershing (1860-1948)
46,1923,"Cummings, M. Earl",01/01/1970 12:32:03 AM +0000,Bequest of Corinne Rideout for the use of the Park Department in embellishing Golden Gate Park.,5' H,"-122.4666711,37.7703537","37.7703537,-122.4666711","Public Display : District 1 : GGP, Music Concourse",Granite,granite,San Francisco Arts Commission,Rideout Fountain
47,1923,"Walter, Edgar",01/01/1970 12:32:03 AM +0000,Commissioned by the architect upon construction of the Steinhart Aquarium.,"24"" in diameter","-122.4661846,37.7699161","37.7699161,-122.4661846",Museum : District 1 : GGP : Academy of Sciences,Bronze,bronze,San Francisco Arts Commission,Ignatz and Sigmund Steinhart (1840-1917)
48,1923,"Dixon, Maynard",01/01/1970 12:32:03 AM +0000,Commissioned by the Spring Valley Water Co.,,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 3 : 425 Mason St., Lobby",oil,oil,San Francisco Arts Commission,Landscape
49,1924,"Rodin, Auguste",01/01/1970 12:31:20 AM +0000,,,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 1 : Legion of Honor Courtyard,Bronze,bronze,San Francisco Arts Commission,The Thinker
50,1926,"Patigian, Haig",01/01/1970 12:32:06 AM +0000,Funds raised by popular subscription,,"-122.4184094,37.7793133","37.7793133,-122.4184094","Public Display : District 6 : Outside City Hall, Polk St.",Bronze,bronze,San Francisco Arts Commission,Abraham Lincoln (1809-1865)
51,1927,"McQuarrie, J.",ca. 1927,Gift of Bay Area Spanish-American War veterans and American Legion posts.,8' H,"-122.4835193,37.76904","37.76904,-122.4835193","Public Display : District 1 : GGP, south side of JFK",Bronze,bronze,San Francisco Arts Commission,Father William D. McKinnon ( -1902)
52,1928,"Bullock, George",01/01/1970 12:30:14 AM +0000,Gift to the Public Library of San Francisco by the people and mayor of Stratford-upon-Avon.,"32"" H","-122.4671799,37.76887809999999","37.7688781,-122.4671799","Public Display : District 1 : GGP, Shakespeare Garden",Bronze,bronze,San Francisco Arts Commission,William Shakespeare
53,1928,"Paitigan, Haig",01/01/1970 12:32:07 AM +0000,Gift of James D. Phelan,2' H statue on a 5' H granite shaft,"-122.4184094,37.7793133","37.7793133,-122.4184094",Public Display : District 6 : City Hall,Bronze,bronze,San Francisco Arts Commission,Edward Robeson Taylor (1838-1923)
54,1929,"Jauchen, Hans",ca. 1929,Gift of the Norwegian men and women of San Francisco.,"SC: 32 X 27 X 6 "" Granite pedestal: 134 X 40 X 42 ""","-122.5108707,37.7704354","37.7704354,-122.5108707","Public Display : District 1 : GGP, JFK at Great Highway",Bronze and red Norwegian Granite,bronze and red norwegian granite,San Francisco Arts Commission,Roald Amundsen (1872-1928)
55,1930,"Cummings, M. Earl",01/01/1970 12:32:08 AM +0000,Purchased in 1930 by popular subscription (52 parlors of the Native Sons and Daughters of the Golden,,"-122.473305,37.7715966","37.7715966,-122.473305","Public Display : District 1 : GGP, Redwood Memorial Grove",Bronze,bronze,San Francisco Arts Commission,Doughboy
56,1932,"Schnier, Jacques",01/01/1970 12:32:12 AM +0000,Placed in 1932 by the Commonwealth Club of California and Pacific Telephone and Telegraph Co.,"30"" X 41"" L","-122.4048711,37.7906482","37.7906482,-122.4048711",Public Display : District 3 : 444 Bush St.,Bronze,bronze,San Francisco Arts Commission,California Theater Plaque
57,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Air: The Hunters
58,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Air: The Windmill
59,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,,"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Earth: Dancing the Grapes
60,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Earth: The Fruit Pickers
61,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 410 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Fire: Primitive Fire
62,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Fire: Industrial Fire
63,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater : 401 Van Ness Avenu,Oil,oil,San Francisco Arts Commission,Water: The Net
64,1933,"Brangwyn, Frank",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 12',"-122.420552,37.779649","37.779649,-122.420552",Public Display : District 6 : War Memorial : Herbst Theater,Oil,oil,San Francisco Arts Commission,Water: The Fountain
65,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 23',"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : District 2 : Palace of Fine Arts,Oil,oil,San Francisco Arts Commission,The Golden Poppy
66,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 23',"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : Palace of Fine Arts,Oil,oil,San Francisco Arts Commission,The Golden Grain
67,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,27 X 23',"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : District 2 : Palace of Fine Arts,Oil,oil,San Francisco Arts Commission,The Golden Fruit
68,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : District 2 : Palace of Fine Arts,Oil,oil,San Francisco Arts Commission,The Golden Metal
69,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : District 2 : Palace of Fine Arts,Oil,oil,San Francisco Arts Commission,The Birth of European Art
70,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : District 2 : Palace fo Fine Arts,Oil,oil,San Francisco Arts Commission,Oriental Art
71,1933,"Reid, Robert",01/01/1970 12:31:54 AM +0000,Commissioned for the Panama-Pacific International Exposition.,,"-122.4483876,37.8028347","37.8028347,-122.4483876",Public Display : District 2 : Palace of Fine Arts,Oil,oil,San Francisco Arts Commission,Ideals in Art
72,1933,"Patigian, Haig",01/01/1970 12:32:12 AM +0000,Gift of Mrs. Lillie Hitchcock Coit.,10' H,"-122.1569535,37.7324503","37.7324503,-122.1569535",Public Display : District 3 : Washington Square Park,Bronze,bronze,San Francisco Arts Commission,Volunteer Fireman Memorial
73,1934,"Boynton, Raymond",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Animal Force and Machine Force
74,1934,"Harris, George",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Banking and the Law
75,1934,"Vidar, Frede",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Department Store
76,1934,"Wight, Clifford",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,10' X 4',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Farmer and Cowboy
77,1934,"Albro, Maxine",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,10' X 42',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,California
78,1934,"Bertrand, Raymond",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Meat Industry
79,1934,"Langdon, Gordon",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,California Agricultural Industry
80,1934,"Oldfield, Otis",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Oil,oil,San Francisco Arts Commission,San Francisco Bay
81,1934,"Moya Del Pino, Jose",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Oil,oil,San Francisco Arts Commission,"San Francisco Bay, North"
82,1934,"Cuneo, Rinaldo",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Oil,oil,San Francisco Arts Commission,Bay Area Hills
83,1934,"Oldfield, Otis",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Oil,oil,San Francisco Arts Commission,Seabirds and Bay Area Map
84,1934,"Olmsted, Jr., Frederick Law",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Power
85,1934,"Howard, John Langley",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,10' X 24',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,California Industrial Scenes
86,1934,"Labaudt, Lucien",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,72 in. x 384 in.,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Powell Street
87,1934,"Hall, Parker",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Collegiate Sports
88,1934,"Terada, Edward Takeo",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,9' X 10',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Sports
89,1934,"Chesse, Ralph A.",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Children at Play
90,1934,"Hamlin, Edith",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Hunting in California
91,1934,"Cunningham, Ben F.",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Outdoor Life
92,1934,"Berlandina, Jane",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,9' X 34',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Egg tempura,egg tempura,San Francisco Arts Commission,Home Life
93,1934,"Wessels, Glenn",01/01/1970 12:32:14 AM +0000,Works Progress Administration,,"-122.4556651,37.7478586","37.7478586,-122.4556651",Public Display : District 7 : Laguna Honda Hospital,Pigment grounds in linseed oil,pigment grounds in linseed oil,San Francisco Arts Commission,"Fire, Earth, Water, Air, The Professions"
94,1934,"Hesthal, William",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Railroad and Shipping
95,1934,"Wight, Clifford",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,10' X 4',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Surveyor and Steelworker
96,1934,"Stackpole, Ralph",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,10' X 36',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Industries of California
97,1934,"Scheuer, Suzanne",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Newsgathering
98,1934,"Zakheim, Bernard Baruch",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Library
99,1934,"Dean, Mallette (Harold)",01/01/1970 12:32:14 AM +0000,Commissioned for Coit Tower,,"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,Stockbroker and Scientist-Inventor
100,1934,"Arnautoff, Victor Mikhail",01/01/1970 12:32:14 AM +0000,Public Works of Art Project (PWAP),10' X 36',"-122.4058194,37.8023686","37.8023686,-122.4058194",Public Display : District 3 : Coit Tower,Fresco,fresco,San Francisco Arts Commission,City Life
101,1935,"VonMeyer, Michael",01/01/1970 12:32:14 AM +0000,Purchased by the San Francisco Art Commission for Fleishhacker Park.,"5'6"" tall","-122.4571623,37.7683778","37.7683778,-122.4571623","Public Display : District 1 : GGP, Children's Playground",Indiana limestone,indiana limestone,San Francisco Arts Commission,The Child
102,1935,"Arnautoff, Victor Mikhail",01/01/1970 12:32:14 AM +0000,George Washington High School,4' X 6',"-122.491083,37.7774299","37.7774299,-122.491083",Public Display : District 1 : Washington High School,cast concrete,cast concrete,San Francisco Arts Commission,Edison (1847-1931) Washington (1732-1799) and Shakespeare (1564-1616)
103,1935,"Arnautoff, Victor",01/01/1970 12:32:15 AM +0000,,1600 square feet,"-122.491083,37.7774299","37.7774299,-122.491083","Public Display : District 1 : Washington High School, main entrance",Fresco,fresco,San Francisco Arts Commission,The Life of George Washington
104,1936,"Bufano, Beniamino",01/01/1970 12:32:16 AM +0000,Purchased by the San Francisco Art Commission for the St. Mary's Plaza.,,"-122.4051364,37.7921253","37.7921253,-122.4051364",Public Display : District 3 : St. Mary's Square,Stainless steel and rose-red granite,stainless steel and rose-red granite,San Francisco Arts Commission,Sun Yat-Sen
105,1936,"Labaudt, Lucien",01/01/1970 12:32:16 AM +0000,WPA Mural Project for the Beach Chalet at Golden Gate Park,,"-122.510284,37.767879","37.767879,-122.510284","Public Display : District 1 : GGP, Beach Chalet",Fresco,fresco,San Francisco Arts Commission,People and Places of San Francisco
106,1936,"Labaudt, Lucien",01/01/1970 12:32:16 AM +0000,WPA Mural Project for Washington High School,66 in. x 324 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155","Public Display : District 1 : Washington High School, Library",Fresco panel,fresco panel,San Francisco Arts Commission,Advancement of Learning through the Printing Press
107,1936,"Stackpole, Ralph",01/01/1970 12:32:16 AM +0000,WPA Mural Project for Washington High School,66 in. x 324 in.,"-122.4194155,37.7749295","37.7749295,-122.4194155",Public Display : District 1 : Washington High School : Librar y,Fresco panel,fresco panel,San Francisco Arts Commission,Contemporary Education
108,1936,"Cravath, Dorothy and Forbes, Helen",01/01/1970 12:32:14 AM +0000,WPA Mural Project for the Mothers' House at the Fleishhacker Zoo,,"-122.5049211,37.7336173","37.7336173,-122.5049211","Public Display : District 4 : SF Zoo, Mother's Building",Fresco,fresco,San Francisco Arts Commission,Noah's Ark
109,1936,"Piazzoni, Gottardo Fidele Ponziano",01/01/1970 12:32:11 AM +0000,Purchased for the San Francisco Main Library,,"-122.467646,37.771503","37.771503,-122.467646",de Young Museum,Oil,oil,San Francisco Arts Commission,The Sea
110,1936,"Piazzoni, Gottardo Fidele Ponziano",01/01/1970 12:32:12 AM +0000,Purchased for the San Francisco Main Library,,"-122.467646,37.771503","37.771503,-122.467646",de Young Museum,Oil,oil,San Francisco Arts Commission,The Land
111,1936,"Piazzoni, Gottardo Fidele Ponziano",1932?,Purchased for the San Francisco Main Library,6' X 11',"-122.467646,37.771503","37.771503,-122.467646",de Young Museum,Oil on canvas,oil on canvas,San Francisco Arts Commission,The Mountains
112,1936,"Piazzoni, Gottardo Fidele Ponziano",1932?,Purchased for the San Francisco Main Library,6' X 11',"-122.467646,37.771503","37.771503,-122.467646",de Young Museum,Oil on canvas,oil on canvas,San Francisco Arts Commission,The Forests
113,1936,"Piazzoni, Gottardo Fidele Ponziano",1932?,Purchased for the San Francisco Main Library,6' X 11',"-122.467485,37.771673","37.771673,-122.467485",Museum : deYoung Museum,Oil on canvas,oil on canvas,San Francisco Arts Commission,Night
